node_class,optimization,test,cores,nodes,tpn,size,t[usec],b,c,d,e,f,g
Test System, As-is code,Exchange,72,2,36,0,1.54,65536,141.73,524288,1468.87,1048576,3347.39
Test System, As-is code,Exchange,2304,64,36,0,2.11,65536,145.72,524288,1492.25,1048576,3410.43
Test System, As-is code,Exchange,4608,128,36,0,2.14,65536,146.75,524288,1493.65,1048576,3423.86
Test System, As-is code,Exchange,9216,256,36,0,30.61,65536,2938.44,524288,21665.75,1048576,46185.71
Test System, As-is code,Exchange,18432,512,36,0,92.32,65536,2928.48,524288,21664.15,1048576,46999.82

node_class,optimization,test,cores,nodes,tpn,size,Msg/sec,size,Msg/sec,size,Msg/sec,size,Msg/sec
Test System, As-is code,Uniband,2,2,1,0,3498639,65536,165666,524288,21508,1048576,10786
Test System, As-is code,Uniband,64,64,1,0,104784878,65536,1173924,524288,148289,1048576,74002
Test System, As-is code,Uniband,128,128,1,0,197621326,65536,2176361,524288,268991,1048576,134542
Test System, As-is code,Uniband,256,256,1,0,428298036,65536,3812259,524288,469926,1048576,234696
Test System, As-is code,Uniband,512,512,1,0,793809911,65536,5207638,524288,659279,1048576,331002
Test System, As-is code,Uniband,72,2,36,0,115851736,65536,183466,524288,23012,1048576,11508
Test System, As-is code,Uniband,2304,64,36,0,1120701861,65536,1188981,524288,148935,1048576,74680
Test System, As-is code,Uniband,4608,128,36,0,2289619757,65536,2163912,524288,270303,1048576,135498
Test System, As-is code,Uniband,9216,256,36,0,413742371,65536,2598175,524288,325529,1048576,162793
Test System, As-is code,Uniband,18432,512,36,0,770938179,65536,4996994,524288,654955,1048576,325915

node_class,optimization,test,cores,nodes,tpn,size,Msg/sec,size,Msg/sec,size,Msg/sec,size,Msg/sec
Test System, As-is code,Biband,2,2,1,0,5001200,65536,296682,524288,39997,1048576,20477
Test System, As-is code,Biband,64,64,1,0,157745897,65536,2303439,524288,292724,1048576,145470
Test System, As-is code,Biband,128,128,1,0,310047769,65536,4699435,524288,590807,1048576,298985
Test System, As-is code,Biband,256,256,1,0,592910107,65536,4805383,524288,610019,1048576,305416
Test System, As-is code,Biband,512,512,1,0,1161677560,65536,9268616,524288,1137763,1048576,565943
Test System, As-is code,Biband,72,2,36,0,167631030,65536,363979,524288,45783,1048576,22892
Test System, As-is code,Biband,2304,64,36,0,1648044282,65536,2383603,524288,298803,1048576,148693
Test System, As-is code,Biband,4608,128,36,0,3072287835,65536,4836305,524288,610016,1048576,305809
Test System, As-is code,Biband,9216,256,36,0,604278943,65536,4891459,524288,615056,1048576,307684
Test System, As-is code,Biband,18432,512,36,0,1159502211,65536,9008549,524288,1137054,1048576,568322

